Travel | 'I have not been everywhere, but it is on my list.' | Susan Sontag
Travel | 'Work, Travel, Save, Repeat.' | Unknown
Travel | 'When preparing to travel, lay out all your clothes and all your money. Then take half the clothes and twice the money.' | Susan Heller
Travel | 'Can we just skip to the part of my life where I travel the world?' | Unknown
Travel | 'Vacation calories do not count. Right?' | Unknown
Travel | 'I want someone to look at me the way I look at a travel magazine.' | Unknown
Travel | 'I need six months of vacation, twice a year.' | Unknown
Travel | 'The worst thing about being a tourist is having other tourists recognize you as a tourist.' | Russell Baker
Travel | 'I have been to almost as many places as my luggage.' | Bob Hope
Travel | 'Travel becomes a strategy for accumulating photographs.' | Susan Sontag
Travel | 'Man cannot discover new oceans unless he has the courage to lose sight of the shore.' | Andre Gide
Travel | 'Remember that happiness is a way of travel, not a destination.' | Roy M. Goodman
Travel | The most beautiful in the world is, of course, the world itself.' | Wallace Stevens
Travel | 'Traveling, it leaves you speechless, then turns you into a storyteller.' | Ibn Battuta
Travel | 'We live in a wonderful world that is full of beauty, charm and adventure. There is no end to the adventures we can have if only we seek them with our eyes open.' | Jawaharial Nehru
Travel | 'Perhaps travel cannot prevent bigotry, but by demonstrating that all peoples cry, laugh, eat, worry, and die, it can introduce the idea that if we try and understand each other, we may even become friends.' | Maya Angelou
Travel | 'A person susceptible to wanderlust is not so much addicted to movement as committed to transformation.'  | Pico Iyer
Travel | 'We travel, some of us forever, to seek other states, other lives, other souls.' | Anais Nin
Travel | 'I travel not to go anywhere, but to go. I travel for travels sake. The great affair is to move.' | Robert Louis Stevenson
Life | 'You have to believe in yourself when no one else does.' | Serena Williams
Life | 'When you have a dream, you have got to grab it and never let go.' | Carol Burnett
Life | 'The most important thing is to enjoy your life, to be happy, it is all that matters.' | Steve Jobs
Life | 'Spread love everywhere you go. Let no one ever come without leaving happier.' | Mother Teresa
Life | 'Be yourself; everyone else is already taken.' | Oscar Wilde
Life | 'The biggest adventure you can take is to live the life of your dreams.' | Oprah Winfrey
Life | 'The only thing we have to fear is fear itself.' | Franklin D. Roosevelt
Life | 'I can accept failure, everyone fails at something. But I can not accept not trying.' | Michael Jordan
Life | 'You have got to be in it to win it.' | Tony Robbins
Life | 'It does not matter how slowly you go, as long as you do not stop.' | Confucius
Life | 'Find out who you are and do it on purpose.' | Dolly Parton
Life | 'For me, becoming is not about arriving somewhere or achieving a certain aim. I see it instead as forward motion, a means of evolving, a way to reach continuously toward a better self. The journey does not end.' | Michelle Obama
Life | 'Confident people have a way of carrying themselves that makes others attracted to them.' | Sofia Vergara
Life | 'If you can do what you do best and be happy, you are further along in life than most people.' | Leonardo DiCaprio
Life | 'You can be everything. You can be the infinite amount of things that people are.' | Kesha
Life | 'Always go with your passions. Never ask yourself if it is realistic or not.' | Deepak Chopra
Life | 'When you change your thoughts, remember to also change your world.' | Norman Vincent Peale
Life | 'The more you know who you are, and what you want, the less you let things upset you.' | Stephanie Perkins
Life | 'By being yourself, you put something wonderful in the world that was not there before.' | Edwin Elliot
Life | 'Do one thing every day that scares you.' | Eleanor Roosevelt
Life | 'It is never too late to be what you might have been.' | George Elliot
Life | 'Find out who you are and be that person. That is what your soul was put on this earth to be. Find the truth, live that truth, and everything else will come.' | Ellen DeGeneres
Life | 'When we are no longer able to change a situation, we are challenged to change ourselves.' | Viktor E. Frankl
Life | 'If you cannot do great things, do small things in a great way.' | Napoleon Hill
Life | 'Always do your best. What you plant now, you will harvest later.' | Og Mandino
Race | 'Prejudice is a burden that confuses the past, threatens the future, and renders the present inaccessible.' | Maya Angelou
Race | 'Not everything that is faced can be changed, but nothing can be changed until it is faced.' | James Baldwin
Race | 'It is not our differences that divide us. It is our inability to recognize, accept, and celebrate those differences.' | Audre Lorde
Race | 'The very serious function of racism is distraction. It keeps you from doing your work. It keeps you explaining, over and over again, your reason for being.' | Toni Morrison
Race | 'If you are neutral in situations of injustice, you have chosen the side of the oppressor.' | Desmond Tutu
Race | 'As long as there is racial privilege, racism will never end.' | Wayne Gerard Trotman
Race | 'Ours is not the struggle of one day, one week, or one year. Ours is not the struggle of one judicial appointment or presidential term. Ours is the struggle of a lifetime, or maybe even many lifetimes, and each one of us in every generation must do our part.' | John Lewis
