Travel | 'I have not been everywhere, but it is on my list.' | Susan Sontag
Travel | 'Work, Travel, Save, Repeat.' | Unknown
Travel | 'When preparing to travel, lay out all your clothes and all your money. Then take half the clothes and twice the money.' | Susan Heller
Travel | 'Can we just skip to the part of my life where I travel the world?' | Unknown
Travel | 'Vacation calories do not count. Right?' | Unknown
Travel | 'I want someone to look at me the way I look at a travel magazine.' | Unknown
Travel | 'I need six months of vacation, twice a year.' | Unknown
Travel | 'The worst thing about being a tourist is having other tourists recognize you as a tourist.' | Russell Baker
Travel | 'I have been to almost as many places as my luggage.' | Bob Hope
Travel | 'Travel becomes a strategy for accumulating photographs.' | Susan Sontag
Travel | 'Man cannot discover new oceans unless he has the courage to lose sight of the shore.' | Andre Gide
Travel | 'Remember that happiness is a way of travel, not a destination.' | Roy M. Goodman
Travel | The most beautiful in the world is, of course, the world itself.' | Wallace Stevens
Travel | 'Traveling, it leaves you speechless, then turns you into a storyteller.' | Ibn Battuta
Travel | 'We live in a wonderful world that is full of beauty, charm and adventure. There is no end to the adventures we can have if only we seek them with our eyes open.' | Jawaharial Nehru
Travel | 'Perhaps travel cannot prevent bigotry, but by demonstrating that all peoples cry, laugh, eat, worry, and die, it can introduce the idea that if we try and understand each other, we may even become friends.' | Maya Angelou
Travel | 'A person susceptible to wanderlust is not so much addicted to movement as committed to transformation.'  | Pico Iyer
Travel | 'We travel, some of us forever, to seek other states, other lives, other souls.' | Anais Nin
Travel | 'I travel not to go anywhere, but to go. I travel for travels sake. The great affair is to move.' | Robert Louis Stevenson
